p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,specificity,n_cells,prop
0,0.8229298470742394,1,1,0,0,Gm42418,0.1873507226982551,2227,0.2276630545900634
0,0.7584324237095117,0.945,0.826,0,0,mt-Nd4,0.19754280261059415,2227,0.2276630545900634
0,0.7495833882137997,0.961,0.873,0,0,mt-Nd2,0.1878545229339344,2227,0.2276630545900634
0,0.7153861251082891,0.929,0.779,0,0,mt-Cytb,0.1942277716704797,2227,0.2276630545900634
0,0.6889428240760802,0.987,0.964,0,0,mt-Co1,0.16058902386524193,2227,0.2276630545900634
0,-0.8059079018426596,1,1,0,0,Malat1,0.18347545465176887,2227,0.2276630545900634
0,-0.8660211151600441,0.978,0.999,0,0,Meg3,0.19301648663028875,2227,0.2276630545900634
0,-0.8940213888170296,0.938,0.993,0,0,Snhg11,0.19226226641654146,2227,0.2276630545900634
3.979590654221278e-292,-0.8169771446843975,0.505,0.857,8.662772936108878e-292,0,Ube3a,0.10960062276079888,2227,0.2276630545900634
2.3502390340900364e-291,0.6869638926556014,0.986,0.949,5.116000329407191e-292,0,mt-Co2,0.16249394101193243,2227,0.2276630545900634
1.8284257289566763e-291,0.646150589816624,0.994,0.986,3.980117126792893e-292,0,AY036118,0.14829816359108194,2227,0.2276630545900634
2.32007896859109e-275,0.6567951520932913,0.934,0.792,5.050347898829084e-271,0,Calm1,0.17633730200527867,2227,0.2276630545900634
4.044474908009922e-273,0.6978547503450989,0.918,0.749,8.804012979755999e-269,0,Hsp90ab1,0.1947235421970677,2227,0.2276630545900634
8.932650878716208e-272,0.6784042822565377,0.958,0.897,1.9444594432789437e-267,0,Camk1d,0.16495071607290054,2227,0.2276630545900634
1.8941256056396103e-271,0.5986199635756471,0.999,0.994,4.1231326183563026e-267,0,mt-Co3,0.1369691808820705,2227,0.2276630545900634
5.371895438533713e-268,0.6533213991278632,0.991,0.972,1.1693541990600189e-263,0,mt-Atp6,0.1516445586896222,2227,0.2276630545900634
2.6438418574804683e-266,0.6965693463647207,0.879,0.665,5.755114955363485e-262,0,Hsp90aa1,0.2096158637696322,2227,0.2276630545900634
1.5240778776049172e-265,0.6588025038763601,0.944,0.819,3.3176127239703844e-261,0,Fth1,0.1728764724559781,2227,0.2276630545900634
5.635202245151811e-256,-0.8380222116070479,0.866,0.966,1.2266708247246464e-251,0,Lsamp,0.171036520886754,2227,0.2276630545900634
1.4192876429222698e-254,-0.7358152723999294,0.637,0.918,3.0895053411131965e-250,0,Dlg2,0.1162406707633009,2227,0.2276630545900634
7.0655343450628415e-252,0.6605683716761568,0.894,0.697,1.5380255162332794e-247,0,Rps8,0.1928923814285109,2227,0.2276630545900634
2.5312270745369135e-244,-0.6631571246479258,0.585,0.898,5.509975095851952e-240,0,Fgf14,0.09835320751920765,2227,0.2276630545900634
1.3289325982130114e-243,0.6426979298324169,0.938,0.798,2.8928204797900824e-239,0,Cst3,0.1719884991272281,2227,0.2276630545900634
9.942265670044087e-237,-0.7484674153057914,0.192,0.591,2.1642323910551973e-232,0,Nrg3os,0.055357848699986535,2227,0.2276630545900634
1.0498590417664083e-234,0.6370142436999333,0.927,0.799,2.2853331621171174e-230,0,Apoe,0.1682575871274395,2227,0.2276630545900634
8.306736778333545e-232,-1.3331973235444596,0.613,0.835,1.8082104619076462e-227,0,Kcnip4,0.22282349952730515,2227,0.2276630545900634
8.68446200357733e-222,-0.7280573117779245,0.612,0.886,1.8904336889387134e-217,0,Nrg3,0.11449218050540333,2227,0.2276630545900634
1.1462478072286885e-221,0.6099653281857214,0.9,0.733,2.495152226775409e-217,0,Cox4i1,0.1705046559725957,2227,0.2276630545900634
5.087991342801951e-220,0.6884643436575859,0.915,0.804,1.1075539555011288e-215,0,Cmss1,0.1783770825122981,2227,0.2276630545900634
